date,manner_of_death,armed,age,gender,race,city,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,state
2015-03-18,shot,knife,47,Male,White,Bakersfield,False,other,Not fleeing,False,-119.015,35.376,California
2015-03-19,shot,box cutter,39,Male,White,Lawrence County,True,other,Not fleeing,True,-87.287,34.566,Alabama
2015-03-19,shot,unarmed,18,Male,Black,Cleveland,False,attack,Not fleeing,False,-81.609,41.529,Ohio
2015-03-19,shot,gun,31,Male,White,Middleton,False,attack,Not fleeing,True,-116.58,43.704,Idaho
2015-03-19,shot,gun,16,Male,Black,Jacksonville,False,attack,Car,False,-81.68,30.379,Florida
2015-03-19,shot,unarmed,20,Male,White,Sumas,True,attack,Not fleeing,False,-122.273,49.0,Washington
2015-03-19,shot,gun,36,Male,White,Bakersfield,False,attack,Not fleeing,False,-119.336,35.355,California
2015-03-20,shot,machete,63,Male,Black,New Orleans,True,attack,Not fleeing,False,-90.265,29.993,Louisiana
2015-03-20,shot,gun,34,Male,White,Coal County,False,attack,Not fleeing,False,-96.323,34.506,Oklahoma
2015-03-20,shot,gun,24,Male,Native American,Red Valley,False,attack,Car,False,-109.138,36.466,Arizona
2015-03-21,shot,gun,21,Male,White,Cottonwood,False,attack,Not fleeing,False,-112.001,34.713,Arizona
2015-03-21,shot,gun,44,Male,White,Clarendon,False,attack,Car,False,-78.047,43.19,New York
2015-03-21,shot,gun,60,Male,White,Harmony,True,attack,Not fleeing,False,-87.073,39.534,Indiana
2015-03-21,shot,gun,42,Male,White,Columbus,False,attack,Not fleeing,False,-82.999,40.03,Ohio
2015-03-22,shot,knife,37,Male,White,Vallejo,True,other,Not fleeing,False,-122.222,38.133,California
2015-03-22,shot and Tasered,knife,36,Male,White,Portland,True,other,Foot,False,-122.53,45.506,Oregon
2015-03-22,shot and Tasered,undetermined,21,Male,Black,Islip,False,attack,Car,False,-73.238,40.74,New York
2015-03-23,shot,gun,24,Male,Black,Santa Clara,False,attack,Not fleeing,False,-121.959,37.361,California
2015-03-24,shot,gun,29,Male,Black,Portsmouth,True,attack,Car,False,-76.37,36.819,Virginia
2015-03-24,shot,gun,57,Male,White,San Jose,True,attack,Not fleeing,False,-121.841,37.302,California
2015-03-24,shot,gun,38,Male,White,Fond du Lac,False,attack,Not fleeing,False,-88.475,43.782,Wisconsin
2015-03-25,shot,undetermined,23,Male,Black,Smyrna,False,other,Car,True,-84.477,33.866,Georgia
2015-03-25,shot,gun,27,Male,Black,Johnsonville,False,attack,Foot,False,-79.462,33.819,South Carolina
2015-03-25,shot,gun,28,Male,Hispanic,South Los Angeles,False,attack,Foot,False,-118.292,33.94,California
2015-03-25,shot and Tasered,gun,63,Male,White,Glendale,True,other,Not fleeing,False,-112.203,33.638,Arizona
2015-03-26,shot,gun,53,Female,White,Gardner,False,attack,Not fleeing,False,-94.91,38.818,Kansas
2015-03-26,shot,knife,35,Male,Hispanic,Wilmington,True,other,Not fleeing,False,-118.271,33.793,California
2015-03-27,shot,knife,26,Female,Black,Oxnard,False,other,Not fleeing,False,-119.183,34.228,California
2015-03-27,shot,gun,42,Male,White,Fort Ashby,False,attack,Car,False,-78.841,39.469,West Virginia
2015-03-27,shot,gun,41,Male,Black,Boston,False,attack,Not fleeing,False,-71.089,42.313,Massachusetts
2015-03-27,shot,gun,56,Male,White,Encinitas,True,attack,Not fleeing,False,-117.242,33.05,California
2015-03-27,shot,knife,39,Male,Black,Fort Pierce,False,other,Not fleeing,False,-80.328,27.435,Florida
2015-03-27,shot,toy weapon,23,Male,Hispanic,Bakersfield,False,attack,Car,False,-119.003,35.396,California
2015-03-27,shot,gun,40,Male,White,Webster,False,attack,Foot,False,-71.878,42.056,Massachusetts
2015-03-29,shot,gun,29,Male,Black,Elizabethtown,False,attack,Not fleeing,False,-85.889,37.735,Kentucky
2015-03-29,shot,Unknown,26,Male,White,Jasper,False,attack,Car,False,-83.255,39.083,Ohio
2015-03-30,shot,gun,54,Male,Unknown,Boulder City,False,attack,Not fleeing,False,-114.84,35.974,Nevada
2015-03-30,shot,gun,49,Male,White,Eugene,True,attack,Not fleeing,False,-123.181,44.091,Oregon
2015-03-31,shot,gun,36,Male,White,Carollwood,False,attack,Not fleeing,False,-82.49,28.102,Florida
2015-03-31,shot,toy weapon,21,Male,Hispanic,Baytown,False,attack,Not fleeing,False,-94.971,29.733,Texas
2015-03-31,shot,vehicle,27,Female,Black,Fort Meade,False,other,Car,False,-76.77,39.115,Maryland
2015-04-01,shot,gun,37,Male,Black,Hawthorne,False,attack,Not fleeing,False,-118.337,33.902,California
2015-04-01,shot,knife,36,Male,White,Hamilton,False,attack,Not fleeing,False,-74.71,40.217,New Jersey
2015-04-02,shot,gun,32,Male,Black,Rock Island,False,attack,Foot,False,-90.582,41.5,Illinois
2015-04-02,shot,unarmed,44,Male,Black,Tulsa,False,other,Not fleeing,False,-95.94,36.184,Oklahoma
2015-04-02,shot,gun,27,Male,White,Pineville,True,attack,Not fleeing,False,-92.407,31.346,Louisiana
2015-04-02,shot and Tasered,gun,63,Male,White,Metropolis,True,attack,Not fleeing,False,-88.677,37.176,Illinois
2015-04-03,shot,knife,38,Male,White,Winchester,False,other,Not fleeing,True,-78.128,39.191,Virginia
